"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,decreasing,16777216,123456,1,parallel,1,313.995898
seq,decreasing,16777216,123456,1,parallel,2,313.487440
seq,decreasing,16777216,123456,1,drake,1,341.375822
seq,decreasing,16777216,123456,1,drake,2,341.675742
seq,constant,1048576,123456,1,parallel,1,19.708554
seq,constant,1048576,123456,1,parallel,2,20.246944
seq,constant,1048576,123456,1,drake,1,23.110610
seq,constant,1048576,123456,1,drake,2,23.674584
seq,constant,4194304,123456,1,parallel,1,74.871728
seq,constant,4194304,123456,1,parallel,2,75.331828
seq,constant,4194304,123456,1,drake,1,89.621652
seq,constant,4194304,123456,1,drake,2,90.433412
seq,constant,16777216,123456,1,parallel,1,325.952075
seq,constant,16777216,123456,1,parallel,2,323.591671
seq,constant,16777216,123456,1,drake,1,380.475262
seq,constant,16777216,123456,1,drake,2,380.928761
2,uniform-random,1048576,123456,1,parallel,1,91.950191
2,uniform-random,1048576,123456,1,parallel,2,91.966276
2,uniform-random,1048576,123456,1,drake,1,52.779707
2,uniform-random,1048576,123456,1,drake,2,52.078869
2,uniform-random,1048576,123456,2,parallel,1,91.860000
2,uniform-random,1048576,123456,2,parallel,2,92.383478
2,uniform-random,1048576,123456,2,drake,1,52.579475
2,uniform-random,1048576,123456,2,drake,2,53.330211
2,uniform-random,4194304,123456,1,parallel,1,390.815179
2,uniform-random,4194304,123456,1,parallel,2,391.956117
2,uniform-random,4194304,123456,1,drake,1,216.924971
2,uniform-random,4194304,123456,1,drake,2,216.110327
2,uniform-random,4194304,123456,2,parallel,1,391.543450
2,uniform-random,4194304,123456,2,parallel,2,390.726830
2,uniform-random,4194304,123456,2,drake,1,216.944541
2,uniform-random,4194304,123456,2,drake,2,215.422075
2,uniform-random,16777216,123456,1,parallel,1,1700.513291
2,uniform-random,16777216,123456,1,parallel,2,1700.751615
2,uniform-random,16777216,123456,1,drake,1,922.125380
2,uniform-random,16777216,123456,1,drake,2,923.092151
2,uniform-random,16777216,123456,2,parallel,1,1701.184263
2,uniform-random,16777216,123456,2,parallel,2,1701.439292
2,uniform-random,16777216,123456,2,drake,1,925.723629
2,uniform-random,16777216,123456,2,drake,2,925.637876
2,increasing,1048576,123456,1,parallel,1,28.096228
2,increasing,1048576,123456,1,parallel,2,28.553838
2,increasing,1048576,123456,1,drake,1,19.015130
2,increasing,1048576,123456,1,drake,2,19.535336
2,increasing,4194304,123456,1,parallel,1,109.804138
2,increasing,4194304,123456,1,parallel,2,109.706303
2,increasing,4194304,123456,1,drake,1,69.617217
2,increasing,4194304,123456,1,drake,2,69.739958
2,increasing,16777216,123456,1,parallel,1,469.801474
2,increasing,16777216,123456,1,parallel,2,469.063161
2,increasing,16777216,123456,1,drake,1,287.236153
2,increasing,16777216,123456,1,drake,2,285.906343
2,decreasing,1048576,123456,1,parallel,1,19.130441
2,decreasing,1048576,123456,1,parallel,2,20.213148
2,decreasing,1048576,123456,1,drake,1,14.534419
2,decreasing,1048576,123456,1,drake,2,14.746501
2,decreasing,4194304,123456,1,parallel,1,73.783120
2,decreasing,4194304,123456,1,parallel,2,74.581584
2,decreasing,4194304,123456,1,drake,1,48.240458
2,decreasing,4194304,123456,1,drake,2,49.174802
2,decreasing,16777216,123456,1,parallel,1,313.880118
2,decreasing,16777216,123456,1,parallel,2,313.977957
2,decreasing,16777216,123456,1,drake,1,201.317382
2,decreasing,16777216,123456,1,drake,2,201.098683
2,constant,1048576,123456,1,parallel,1,21.101567
2,constant,1048576,123456,1,parallel,2,20.752312
2,constant,1048576,123456,1,drake,1,14.311026
2,constant,1048576,123456,1,drake,2,14.595165
2,constant,4194304,123456,1,parallel,1,75.000473
2,constant,4194304,123456,1,parallel,2,76.879210
2,constant,4194304,123456,1,drake,1,54.803638
2,constant,4194304,123456,1,drake,2,53.204001
2,constant,16777216,123456,1,parallel,1,323.890348
